,coffee_name,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
186,포스트업,블렌드,다크,,초콜릿,5,1,5,1
3608,명지바람,블렌드,미디엄다크,유기농,-,3,4,2,2
4334,콜롬비아 라 레세르바 카투라 치로소,싱글오리진,미디엄,,-,3,3,4,3
43,데일리스윗,블렌드,미디엄다크,,"토피, 맥아, 흑설탕",4,2,4,3
3157,302 블렌드,블렌드,미디엄다크,유기농,-,4,3,5,2
3018,밝은 블렌드,블렌드,라이트미디엄,,-,3,4,4,1
1026,뉴커먼,블렌드,미디엄다크,,"견과류, 오렌지, 헤비 바디",4,2,3,1
272,아이스브레이커,블렌드,미디엄,,"적사과, 마카다미아, 자두",4,4,5,1
42,브루클린,블렌드,미디엄,,"얼그레이, 히비스커스, 믹스드 베리",3,3,4,1
3041,스칼렛,싱글오리진,미디엄다크,,-,4,2,5,2
3804,웨이브온 컴페티션 블랜드,블렌드,다크,,-,5,1,3,4
4772,코스타리카 핀카 마초 워시드,싱글오리진,미디엄,,-,3,3,4,1
4428,인도네시아 만델링 G1 트리플픽,싱글오리진,미디엄다크,,-,4,1,4,4
190,몬스테라,블렌드,미디엄,,"크랜베리, 라즈베리, 밀크 초콜릿",3,4,4,1
4842,마블 디카프,디카페인,미디엄다크,,-,3,2,5,3
3244,클래식 실버 블렌드,블렌드,미디엄,,-,3,2,4,3
3218,Campfire (캠프파이어),블렌드,미디엄다크,,-,5,1,4,3
3089,모노그램(Mono Gram),블렌드,미디엄다크,,-,3,3,5,2
1040,그 해 겨울,블렌드,미디엄,직접무역,"체리, 라즈베리, 밀크 초콜릿, 헤이즐넛, 좋은 밸런스, 클린",4,3,5,1
168,블렌드 A,블렌드,미디엄다크,,"밀크 초콜릿, 견과류, 깔끔한 바디",4,2,4,3
3141,블랙 블렌드,블렌드,다크,,-,5,3,4,4
4612,밸런스 블렌드,블렌드,미디엄,,-,3,3,4,3
3706,인도 블랜드,블렌드,다크,,-,5,1,3,4
3069,디카페인 블렌딩,디카페인,미디엄다크,,-,4,3,4,2
1048,레이크 맥켄지,블렌드,미디엄,공정무역,"와일드 베리, 사탕수수, 스톤프루츠, 클린",3,3,3,2
4427,파푸아뉴기니 AA 쿠아 블루마운틴 풀리워시드,싱글오리진,미디엄,,-,3,3,4,3
3515,Santo Negro 산토네그로,블렌드,다크,공정무역,-,4,1,5,4
3140,그레이 블렌드,블렌드,미디엄다크,,-,4,2,3,2
3928,올드타운로드 하우스블랜드,블렌드,다크,,-,4,1,5,4
61,디카페인 에티오피아 예가체프 워카 내추럴 스위스 워터,디카페인,다크,,"건자두, 캐러멜, 다크 초콜릿",4,2,4,3
4016,코스타리카 라 몬타나 데 라 쿰브레 화이트허니,싱글오리진,라이트미디엄,,-,3,4,4,2
3040,시에나,블렌드,미디엄다크,,-,5,1,5,2
3912,조바티 스페셜 블렌드,블렌드,라이트미디엄,,-,3,4,3,1
227,모노톤,블렌드,미디엄다크,,초콜릿,4,1,4,4
1207,피크 블렌드,블렌드,미디엄다크,,"카라멜, 밀크초콜릿, 좋은 바디감",3,2,3,2
4767,에티오피아 워르카 우리 워시드,싱글오리진,라이트,,-,3,3,4,1
4870,케냐 가탕가리리 AA,싱글오리진,라이트,,-,4,4,5,1
3508,카프리,디카페인,미디엄다크,,-,4,1,4,3
3406,레드써클 블렌드,블렌드,미디엄,,-,3,4,4,2
3722,일상 블렌드 L (라떼),블렌드,미디엄다크,,-,5,1,5,4
1210,BEIGE 블랜드,블렌드,라이트,,"플로럴, 오렌지",3,4,5,1
4786,콜롬비아 핀카 라 레세르바 카투라치로소,싱글오리진,라이트,,-,4,4,4,1
102,클래식 블렌드,블렌드,미디엄다크,,"토스트, 호두, 브라운 슈가",4,1,4,3
3009,덕분에블렌드,블렌드,미디엄,공정무역,-,4,3,4,1
4799,Ethiopia Guji G1(에티오피아 구지 G1),싱글오리진,미디엄,직접무역,-,3,3,3,2
1714,브라질 옐로우버번 MWP 디카페인원두,디카페인,미디엄다크,,-,3,2,5,3
3894,파푸아뉴기니 마라와카 블루마운틴,싱글오리진,미디엄다크,,-,3,3,4,3
204,브릴리,싱글오리진,미디엄다크,직접무역,"바닐라, 피스타치오, 크림브륄레, 밀크초콜릿",4,1,5,3
4682,포세이돈 블렌딩,블렌드,미디엄다크,,-,4,1,3,4
22,1st WAVE : Supply,블렌드,다크,공정무역,"다크 초콜릿, 마카다미아, 카라멜",4,1,3,4
4876,알토 블렌드,블렌드,다크,,-,5,1,3,4
3487,피크 블렌드,블렌드,미디엄다크,,-,5,1,5,4
3609,닻별,블렌드,다크,유기농,-,4,2,4,4
3402,노 피어,블렌드,다크,,-,4,1,4,4
4008,에티오피아 카욘마운틴 내추럴 구지 G1 스페셜티,싱글오리진,미디엄,공정무역,-,3,3,4,2
1292,데일리뷰티 블렌드,블렌드,미디엄,,"은은하게 퍼지는 산미, 시럽같은 단맛, 카카오, 다크초콜렛, 좋은 바디감",4,2,4,2
2,나탈리,블렌드,미디엄,공정무역,"딸기, 와인, 화이트 초콜릿",2,3,5,1
3907,에티오피아 케라모 G1 워시드,싱글오리진,미디엄,,-,2,3,3,1
3231,과테말라 우에우에테낭고 디카페인,디카페인,미디엄,,-,3,1,3,2
1041,클래식 에스프레소,블렌드,다크,,"다크 초콜릿, 카카오닙스, 묵직한 바디, 피칸",5,1,4,3
4874,스트레토 블렌드,블렌드,미디엄다크,,-,4,2,4,2
1343,W 블렌드,블렌드,다크,,"다크 초콜릿, 카카오닙스",5,1,2,4
3617,투게더 블렌드,블렌드,다크,유기농,-,4,1,4,4
3200,에티오피아 예가체프 G2,싱글오리진,미디엄,,-,2,3,2,1
4057,아침 블랜드,블렌드,다크,,-,5,1,4,4
3936,바다블렌드,블렌드,미디엄다크,,-,4,3,4,2
3526,핸디엄 밸런스 원두 아로마 5kg,블렌드,미디엄다크,,-,3,3,4,1
3802,에티오피아 예가체프 첼바 쿠멜라초 G1,싱글오리진,라이트,,-,2,4,5,1
110,르네테르 블렌드,블렌드,미디엄,,"바닐라, 오렌지, 꿀같은 달콤함, 좋은 발란스, 긴 여운",3,2,4,1
3837,시그니처블렌드 D,블렌드,미디엄다크,,-,5,1,5,1
1200,푸짐한알밥 블렌딩,블렌드,미디엄다크,,"쌀밥, 땅콩, 카카오, 보리차, 옥수수",4,1,3,4
217,77도 블렌드,블렌드,미디엄다크,,"견과류, 초콜릿, 브라운슈가",4,1,4,3
