,id,바디감,신맛,단맛,쓴맛,타입_디카페인,타입_블렌드,타입_싱글오리진,지속가능성_0,지속가능성_공정무역,지속가능성_유기농,지속가능성_직접무역,로스팅 포인트_다크,로스팅 포인트_라이트,로스팅 포인트_라이트미디엄,로스팅 포인트_미디엄,로스팅 포인트_미디엄다크,꽃,과일,허브,달콤함,고소함,향료,초콜릿
59,3963,4,3,5,4,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60,3394,4,1,3,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61,4172,3,2,4,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62,136,4,3,2,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
63,2999,3,2,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,1714,3,2,5,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,282,4,1,3,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
66,3357,3,1,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
67,4707,3,3,3,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
68,3946,4,3,3,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
69,1573,3,3,4,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
70,1085,3,2,3,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
71,3508,4,1,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,1478,3,1,4,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
73,4601,4,2,3,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
74,1038,3,2,4,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
75,3058,3,3,3,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
76,3206,4,1,4,4,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,4407,4,3,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78,3725,4,1,4,4,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,4602,3,3,3,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
