,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
시즈널 블렌드 '가을',블렌드,미디엄,공정무역,-,4,2,4,2
디카페인 블렌드,디카페인,다크,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""3154B3A8FE16956C0228FEAC4991C5F1_element_45792"")>",4,1,3,4
애비뉴 블렌딩,블렌드,미디엄다크,,-,4,2,4,3
에티오피아 구지 우라가,싱글오리진,미디엄,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""BED06C620926ED356F9406920323FE61_element_5477"")>",2,3,2,1
에티오피아 리무 볼렌소,싱글오리진,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""B0B3B3DAF23D72333CCFE4EFD9E01715_element_5573"")>",5,3,5,1
글램 앤 모어,블렌드,라이트미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""FDFDA716A74E2AFD0BCCE388CDBAD602_element_5665"")>",3,4,3,1
르네테르 블렌드,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""EE797E8AEA8CA5C91A3A477DDAF701DB_element_5778"")>",3,2,4,1
젠틀레인 디카페인,디카페인,미디엄다크,,-,4,2,4,3
시그니처 화이트,블렌드,미디엄,직접무역,-,2,3,4,2
핸디엄 밸런스 원두 스윗 5kg,블렌드,미디엄다크,,-,4,2,4,3
코스타리카 라 몬타나 데 라 쿰브레 화이트허니,싱글오리진,라이트미디엄,,-,3,4,4,2
Harum 블렌딩,블렌드,미디엄,유기농,-,3,4,4,2
콜롬비아 라 카바나 게이샤 애너러빅 내추럴,싱글오리진,미디엄,,-,2,3,4,3
바흐 Bach,블렌드,미디엄,,-,3,3,3,1
볼드 블렌드,블렌드,미디엄다크,,-,4,2,4,3
콜롬비아 핀카 라 에스메랄다 아나에어로빅 허니,싱글오리진,미디엄,,-,3,4,4,2
테디베어 블랜드,블렌드,미디엄,,-,4,2,5,2
스타가이 블랜드,블렌드,미디엄,,-,3,4,5,3
댐 굳 블렌드,블렌드,다크,,-,5,1,4,4
케냐 AA TOP 키안두 스페셜티 풀리워시드,싱글오리진,미디엄,,-,3,4,4,2
블렌드 C,블렌드,미디엄다크,,-,3,3,4,2
"LIGHT,LIGHTER 에티오피아 하마쇼 내추럴",싱글오리진,라이트,,-,4,3,5,1
고독,블렌드,미디엄다크,공정무역,-,5,1,4,3
나폴리,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""A12DAF6923D6C8D43984D2F867E9DF62_element_7469"")>",4,4,5,2
올드스쿨(Old School),블렌드,다크,,-,4,2,5,3
브레가 블렌딩,블렌드,미디엄다크,,-,4,2,4,2
블랙 앤 모어,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""D65FC63A1C49779FA6B85E3A83A0DE2F_element_7736"")>",5,1,4,2
다크로스팅 에티오피아 웨스트 아라시 넨세보 만도예 워시드,싱글오리진,미디엄다크,,-,3,3,4,2
에티오피아 예가체프 아리차 에이미 G1 내츄럴,싱글오리진,라이트미디엄,,-,3,4,4,1
D3,블렌드,다크,,-,4,1,3,4
노 피어,블렌드,다크,,-,4,1,4,4
코스타리카 핀카 마초 워시드,싱글오리진,미디엄,,-,3,3,4,1
스윗가이 블랜드,블렌드,미디엄,,-,3,4,4,3
꼬수운돌솥밥 블렌딩,블렌드,미디엄다크,,-,4,1,5,5
레드써클 블렌드,블렌드,미디엄,,-,3,4,4,2
풍요로운 땅,블렌드,다크,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""7EF929950481F5F38E99AF8491CE10A0_element_8581"")>",4,3,4,4
콜롬비아 수프리모,싱글오리진,미디엄다크,,-,3,3,3,1
아침 블랜드,블렌드,다크,,-,5,1,4,4
블렌드 애플 레드,블렌드,라이트미디엄,,-,2,4,5,2
44도 블렌드,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""5FFACB2B4A46CBAA1892112D7CA647EE_element_8934"")>",4,1,4,3
