,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
디카페인 고소한 빈도,디카페인,미디엄,,-,3,2,4,3
율 디캐프 다크,디카페인,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""ADE80FDE30AE558071F8D596AA1386F4_element_23253"")>",3,1,4,2
엘 살바도르 라 시베리아 레드버번 워시드,싱글오리진,라이트,,-,3,3,5,2
콜린,블렌드,미디엄다크,공정무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""0545B0495E9B1EA51E04DF682014BC30_element_23451"")>",4,2,4,1
썸즈업 블렌드,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""0B78EE5CFA7094E693EFCBC680D9BC93_element_23554"")>",4,1,3,2
네이비렄다크 블렌드,블렌드,다크,,-,4,1,4,2
모노톤,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""E507BF710ADFCCA75E002B88C927CCF1_element_23747"")>",4,1,4,4
몬스테라,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""56892436ED34D59265D612021736BFA3_element_23841"")>",3,4,4,1
반달 베어 블랜딩,블렌드,미디엄다크,,-,5,1,5,3
릴렉스 블렌드,블렌드,미디엄,,-,4,1,5,2
인도네시아 만델링 G1,싱글오리진,다크,공정무역,-,4,3,3,4
길들인다,블렌드,미디엄다크,공정무역,-,4,1,3,1
카프리,디카페인,미디엄다크,,-,4,1,4,3
Decaffeinated Blend,디카페인,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""2FAA5FAB3681DE57C55477A1FD9D4BBC_element_24402"")>",4,3,3,2
과테말라 스위스 디카페인,디카페인,미디엄다크,,-,3,3,3,1
케냐 키린야가 캄완기 AA TOP,싱글오리진,라이트,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""AEB775A27B43F3BCA961CF2EC04CA12E_element_24705"")>",2,3,5,1
바다뷰 디카페인,디카페인,미디엄다크,,-,4,3,3,2
아몰렌떼 디카페인 원두 커피,디카페인,미디엄다크,,-,4,2,4,2
콜롬비아 엑셀소 EP 디카페인 마운틴 워터,디카페인,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""1DE007D9E39B4D47F7E6F5E2A132A968_element_24983"")>",3,1,3,2
일상 블렌드 A (아메리카노),블렌드,미디엄,,-,4,3,5,3
에티오피아 워르카 우리 워시드,싱글오리진,라이트,,-,3,3,4,1
다크초코 블렌딩,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""91A5D26223566FB2A81CD0F185E875D2_element_25257"")>",4,3,4,2
이탈리안잡 블렌드,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""367253D4B7670115446602E95E53A0EC_element_25439"")>",4,2,4,4
봄의 제전,블렌드,미디엄,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""F76BBA3B247D14961D3063D8FF0C3A6F_element_25541"")>",5,4,5,2
노네임블렌드,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""E582CA0A69B9AECE48D128A980D81AF2_element_25632"")>",3,2,4,3
그레이 블렌드,블렌드,미디엄다크,,-,4,2,3,2
필베러,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""B516DEB6D28C4FD0406BD1A0DF220D6C_element_25801"")>",3,3,4,1
아이리스,블렌드,라이트미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""F82C45CC01F9E6BA83635133E647C71F_element_25878"")>",2,4,4,2
헬로 다크니스,블렌드,다크,,-,5,1,4,4
다크우드,블렌드,다크,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""3BC96EFFD7E0EAA5F22FC66E3B165F5D_element_26070"")>",4,3,5,3
에티오피아 예가체프 첼베사 워시드,싱글오리진,미디엄,,-,3,4,4,2
프레쉬 블렌드,블렌드,라이트미디엄,,-,3,4,4,1
카페5060,블렌드,미디엄다크,공정무역,-,3,1,3,3
부릉부릉,블렌드,라이트미디엄,,-,3,4,4,1
아이스브레이커,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""8F5EACF8E970CD4C80405914C1FB76CC_element_26506"")>",4,4,5,1
콜롬비아 E.A 디카페인,디카페인,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""C21F12564AE1D68352B92D30CA72FF42_element_26582"")>",4,2,4,3
2nd WAVE : Customizing,블렌드,미디엄다크,공정무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""40D6DDB25421FF77887B189CE77CEDB6_element_26681"")>",4,3,4,2
딥씨 블렌드,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""ED77778F08427745609F9E27C210556C_element_26767"")>",3,3,4,3
조바티 클래식 블렌드,블렌드,미디엄다크,직접무역,-,4,2,3,3
시에나,블렌드,미디엄다크,,-,5,1,5,2
다크 브라운,블렌드,다크,,-,5,1,5,4
코스타리카 따라주,싱글오리진,미디엄다크,공정무역,-,3,2,3,3
브라운렄블렌드,블렌드,미디엄다크,,-,4,2,4,2
에티오피아 예가체프 G1 할로 베리티 워시드,싱글오리진,미디엄,,-,2,3,4,2
블랙오르페우스,블렌드,다크,,-,5,1,4,4
파푸아뉴기니 AA 쿠아 블루마운틴 풀리워시드,싱글오리진,미디엄,,-,3,3,4,3
에티오피아 모모라 내추럴 구지 G1,싱글오리진,라이트미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""FE6A7F39A307F3E7AF00568F48AA87BD_element_27676"")>",3,4,4,1
블렌드 신월,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""1A501F5C87035B8BD632611C38092AA2_element_27781"")>",5,1,4,4
과테말라 SHB 스위스워터 디카페인,디카페인,미디엄다크,,-,4,2,4,3
시다모 파피초 내추럴,싱글오리진,라이트,,-,3,4,4,1
에티오피아 시다모 워시드 G2,싱글오리진,미디엄다크,,-,3,3,3,1
Seasonal Blend,블렌드,라이트미디엄,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""DEE7EB82B47D6C643FCA052E53B0A3DF_element_28173"")>",3,4,4,1
블렌드 너티 퍼플,블렌드,미디엄다크,,-,4,1,4,3
온두라스 COE#10 아구아 둘세 게이샤 워시드,싱글오리진,라이트미디엄,,-,3,4,4,2
비터스윗 라이프 에디션2,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""361A7DDCBA5B272DE1004AD113D863A6_element_28465"")>",5,1,4,4
스칼렛,싱글오리진,미디엄다크,,-,4,2,5,2
케냐 가차타 AA,싱글오리진,라이트미디엄,,-,3,4,4,1
Snokel (스노클),블렌드,라이트미디엄,,-,2,2,4,1
안신단고 블렌딩,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""2A7F833BAFC74DF3FFACB7BAC5494C51_element_28855"")>",4,3,4,2
펀치,블렌드,다크,,-,3,2,4,2
일랑일랑 블렌드,블렌드,라이트미디엄,,-,3,4,4,1
나탈리,블렌드,미디엄,공정무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""5EBEBFAB1BA314E38321251D8BC563D4_element_29144"")>",2,3,5,1
블렌드 B,블렌드,라이트미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""BAF83D886C52D3893E6C9C2267014B60_element_29247"")>",3,4,3,2
고소한 빈도,블렌드,미디엄,,-,3,1,5,3
케냐 AA 워시드,싱글오리진,라이트,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""0983D337DA97752FBF917C819F345B19_element_29434"")>",3,4,4,1
케냐 바링고 워시드 AB,싱글오리진,미디엄,,-,3,3,4,3
다크브릭스 블렌드,블렌드,미디엄다크,,-,5,1,3,4
플레이어,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""72992F4784248A09A3E4490A14885B04_element_29757"")>",4,2,4,3
에티오피아 G1 콩가,싱글오리진,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""7A311E48DB7BCE81757CC7AD6F826838_element_29875"")>",3,4,3,2
콜롬비아 비야라조 시나몬,싱글오리진,라이트미디엄,,-,3,3,4,3
피크 블렌드,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""9E94D82303269EE3048C84BC933EF2FE_element_51650"")>",3,2,3,2
에티오피아 예가체프 코체레 G2 워시드,싱글오리진,라이트미디엄,유기농,-,2,4,4,1
리밀 블렌드,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""3261AC00DDA26E9B2C28A1D821E41B99_element_30244"")>",4,2,4,4
랑케블랙,블렌드,다크,,-,5,1,4,4
하이홉스 시즈널블랜드,블렌드,미디엄,,-,3,3,5,2
휘둥그레블렌드,블렌드,미디엄다크,공정무역,-,4,1,4,3
Classic Plus Blend,블렌드,다크,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""C550049F8BFF103A90B5CAB77BA0C08A_element_30638"")>",5,1,5,4
바이올렛 블렌딩 커피,블렌드,미디엄다크,,-,2,2,3,1
삼척블렌드,블렌드,미디엄다크,,-,5,2,4,3
Parachute (패러슈트),블렌드,미디엄,,-,3,2,5,2
마일드 블렌딩,블렌드,미디엄다크,,-,3,2,3,3
고소한쌀밥 블렌딩,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""9434AFFB19B0420BE747444AA23BC99E_element_31141"")>",3,1,4,2
우리집블렌드,블렌드,미디엄다크,공정무역,-,3,2,4,1
포트리스 블렌드,블렌드,미디엄다크,,-,4,2,4,4
CALLA LILY(칼라 릴리),싱글오리진,미디엄,직접무역,-,3,3,3,2
과테말라 엘 소코로 버본,싱글오리진,라이트,,-,3,4,4,1
클래식 블렌드,블렌드,다크,,-,4,1,4,3
Blend N.1,블렌드,라이트,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""94CB30DFF0DC39C42DB6B3905D1FED11_element_31728"")>",3,3,5,1
에티오피아 예가체프 할로베리티 G1 워시드,싱글오리진,라이트미디엄,,-,2,4,4,2
마블 디카프,디카페인,미디엄다크,,-,3,2,5,3
콜롬비아 디카페인 에스프레소,디카페인,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""C30F819FE2E34B38EFDB1C08A761FB28_element_32038"")>",4,1,5,4
Decaf 디카페인,디카페인,미디엄,공정무역,-,4,4,4,2
퍼플렄 블렌드,블렌드,라이트미디엄,,-,3,3,4,1
블렌드 A,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""94443E6ADCC5797BA59E47408F7008AE_element_32306"")>",4,2,4,3
디카페인 원두,디카페인,미디엄다크,,-,3,1,4,2
아헨 Aachen,블렌드,미디엄다크,,-,4,2,4,1
람블라 블렌딩,블렌드,미디엄다크,,-,3,2,4,2
디카페인 스윗 블라썸 블렌드,디카페인,다크,,-,4,3,4,3
봄 블랜드,블렌드,라이트미디엄,,-,3,4,4,1
디카페인 과테말라 블렌드,디카페인,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""492DE6D4A9F5DAA22BA97D4ADB74A418_element_32855"")>",4,3,2,4
과테말라 엘 소코로 산 로렌조 스페셜티,싱글오리진,미디엄다크,,-,4,1,4,2
콜롬비아 디카페인 커피 원두 새벽,디카페인,미디엄다크,공정무역,-,4,2,4,2
버밀리온 블렌딩,블렌드,미디엄,,-,3,2,4,3
과테말라 안티구아 디카페인,디카페인,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""E36AEC2E783EA5EE15895195703E5825_element_33353"")>",4,1,4,4
짙은 블렌드,블렌드,미디엄다크,,-,4,2,4,3
블루문,디카페인,미디엄다크,,-,4,1,4,2
투게더 블렌드,블렌드,다크,유기농,-,4,1,4,4
다크그린 블렌딩 커피,블렌드,미디엄다크,,-,3,2,3,2
자몽 블렌딩,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""EBA50989B34F5B834A52E946D7408BF9_element_33818"")>",4,3,4,2
콜롬비아 엘 오브라헤 게이샤 무산소발효 내추럴,싱글오리진,라이트,,-,3,4,4,2
스테이블 블렌드,블렌드,미디엄,,-,3,2,4,1
딥 스모키,블렌드,미디엄다크,유기농,-,5,1,3,5
Avo 블랜드,블렌드,라이트미디엄,,-,2,4,3,2
뉴월드 블렌드,블렌드,미디엄다크,직접무역,-,3,2,3,3
러스트 블렌딩,블렌드,미디엄다크,,-,4,1,4,4
피타 블렌드,블렌드,미디엄다크,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""B00B4A14A19F29FD58BA1AD7918A40E4_element_34471"")>",3,3,4,2
옐로우렄블렌드,블렌드,미디엄다크,,-,4,2,4,2
그 해 겨울,블렌드,미디엄,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""BB3663FFCEB5B3AEC2FD205777178D7A_element_34644"")>",4,3,5,1
라까프 핀 블렌드,블렌드,다크,공정무역,-,4,1,4,4
BEIGE 블랜드,블렌드,라이트,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""22A6E1CAED2B9EAA1CCC1BD30AFA451E_element_34805"")>",3,4,5,1
엘 카미노,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""128B910F7DAD3CFADC3F4E2B84FE8973_element_34895"")>",3,1,4,3
피어투피어,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""2A9017994ABCE7EB49099BAED8ED4D76_element_34977"")>",2,3,3,1
에티오피아 예가체프 게이샤 G1 내추럴,싱글오리진,라이트,,-,3,4,4,2
디카페인 과테말라,디카페인,미디엄다크,공정무역,-,3,3,3,2
리허설,블렌드,미디엄다크,,-,3,2,3,2
피치 슬럽 블렌드,블렌드,라이트미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""90F2622D91B3565382681E09D9DF1461_element_35369"")>",2,3,4,2
7:01AM 블렌드,블렌드,다크,,-,4,1,4,3
콜롬비아 아마티보 로꼬시리즈 카리베,싱글오리진,미디엄,,-,2,3,5,2
BURUNDI ROYAL BEATS(부룬디 로얄 비츠),싱글오리진,미디엄,직접무역,-,4,3,3,2
오드아이,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""74A88A5F96BC80C8323BF31998EA43E4_element_35751"")>",5,1,5,4
반월 블렌드,블렌드,다크,,-,4,2,5,1
Zero WAVE : Ordinary,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""92D608601D3168913DE49A4210316B36_element_35951"")>",4,1,4,4
디카페인 엘살바도르,디카페인,미디엄다크,공정무역,-,3,2,3,2
BRICK 블랜드,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""2D4C031A9F9E305052FD07CA8A28F9FD_element_36136"")>",4,1,4,1
인도 블랜드,블렌드,다크,,-,5,1,3,4
BAGUS 블렌딩,블렌드,미디엄다크,유기농,-,5,2,3,4
M블랙,블렌드,다크,,-,5,1,4,3
비터스윗,블렌드,미디엄다크,,-,4,2,3,4
브라질 산타루시아,싱글오리진,미디엄,,-,2,2,4,2
매뉴얼,블렌드,미디엄다크,,-,4,2,4,3
브릭 에스프레소,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""FC268F56788001A9F0D0302A1757DE38_element_36772"")>",3,2,4,2
에티오피아 예가체프 게이샤,싱글오리진,라이트미디엄,,-,3,4,4,3
허클베리,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""52BF75C78E33E084F945E54CE6610D29_element_36972"")>",2,3,4,1
콜롬비아 수프리모 후일라 산 비센테 라 플라타,싱글오리진,미디엄,,-,3,4,3,2
비터스윗 라이프 에디션1,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""D8E3EEC7A56DDC62908085893E5C8B8A_element_37166"")>",4,2,4,3
어텀 블렌드,블렌드,미디엄,,-,3,2,4,3
인도 마이소르 너겟 엑스트라 볼드,싱글오리진,다크,,-,5,1,5,4
Blend Dark,블렌드,다크,,-,4,1,3,5
Ethiopia Guji G1(에티오피아 구지 G1),싱글오리진,미디엄,직접무역,-,3,3,3,2
공단향 블렌드,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""D13BFA7941DEF01EDFA06F199DFB9944_element_37644"")>",4,2,5,4
스윗 앤 모어,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""7673EEEF21858B6238706823C003FF49_element_37729"")>",4,2,4,1
헥사 블렌드,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""8BDC743883C4C9C4685C16C7D70D94C3_element_37823"")>",4,3,3,2
숲,블렌드,미디엄,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""3BAE607C7E3D571C8808E596037AADD3_element_37929"")>",4,4,5,1
에티오피아 카욘마운틴 내추럴 구지 G1 스페셜티,싱글오리진,미디엄,공정무역,-,3,3,4,2
미드나잇 블루 (디카페인 원두),디카페인,다크,,-,4,1,4,3
푸짐한알밥 블렌딩,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""2A1727185EEA8D58432D160B77899411_element_38221"")>",4,1,3,4
디 카페인 블렌드,디카페인,미디엄다크,,-,4,1,4,3
2시 15분,블렌드,미디엄,공정무역,-,3,4,5,1
룰라바이,디카페인,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""84FA8A17EE19EDE954ED4026D2200B97_element_38663"")>",2,3,5,1
오드 블렌드,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""57B621DA2BD063AD12B306DDE201ECB0_element_38751"")>",3,3,4,2
비숲,블렌드,다크,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""3D76825FA7594779CB791C06F93BF2DB_element_38825"")>",3,1,3,4
간편한즉석밥 블렌딩,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""37E9BF057D4A9D7F7E6D31655D6E187F_element_38923"")>",3,1,3,4
케냐 띠리쿠 AA 워시드,싱글오리진,미디엄,,-,4,4,5,1
하드워커,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""746BD234E8F140270CCE6E75A0CADE5A_element_39099"")>",3,2,4,2
컨트리사이드 디카페인 싱글오리진,디카페인,미디엄다크,,-,4,3,5,4
허니서클 블렌드,블렌드,미디엄,,-,3,2,4,2
블렌드 캔디 그린,블렌드,라이트미디엄,,-,2,4,3,2
디카페인 에티오피아 블렌드,디카페인,라이트미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""738434447A20643335D56B586DAFD030_element_39506"")>",3,4,5,2
리치 라운드,블렌드,미디엄다크,,-,2,2,4,3
라이프 블렌드,블렌드,다크,,-,4,1,4,3
케냐 뚱구리 피베리,싱글오리진,라이트,,-,4,5,5,1
피렌체,블렌드,미디엄다크,,-,5,1,3,4
휴식 블랜드,블렌드,미디엄다크,,-,4,2,4,3
스페셜티 블렌드,블렌드,미디엄,,-,2,4,4,1
호이스트,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""ABA9B76ABE1B383320891760CBF9520A_element_40290"")>",3,3,4,1
밸런스,블렌드,미디엄다크,,-,3,3,3,3
Caramelo 카라멜로,블렌드,미디엄,공정무역,-,3,4,4,1
콜롬비아 파라이소92 핑크버본,싱글오리진,라이트,,-,1,3,4,1
에티오피아 블렌드,블렌드,미디엄,,-,3,3,4,1
아몬드 블렌딩,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""33C340F81C31DD935A4520C206F472D7_element_40728"")>",4,3,4,2
디어 베이커,블렌드,미디엄,유기농,-,4,3,4,1
디카프 브라질 NY2/3 mountain water,디카페인,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""B629648D24D568CBBF18688A3BECD0D6_element_40948"")>",4,1,4,2
시그니처 블랜드 000 디카페인,디카페인,미디엄다크,,-,3,1,5,2
과테말라 웨웨테낭고 SHB 디카페인,디카페인,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""27208FACC2FD55CF26134025108E7C66_element_41161"")>",3,2,4,1
에티오피아 예가체프 아리차 g1 내추럴,싱글오리진,라이트미디엄,유기농,-,3,4,5,1
[다크] 케냐 키리냐가 아실리 AA+ 워시드,싱글오리진,미디엄다크,,-,4,2,4,3
페루 엘 세드로 마르셀 워시드,싱글오리진,라이트,,-,3,4,4,1
명지바람,블렌드,미디엄다크,유기농,-,3,4,2,2
커피가이 블렌드,블렌드,미디엄,,-,4,3,5,2
극야 블렌드,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""9DBE144E99A59C05706B3444B24359AC_element_41739"")>",5,1,4,4
우일라 디카페인,디카페인,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""CD4AD2D8FF36689D477BE1394690509F_element_41825"")>",3,3,4,2
레스벗베러,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""7BCFCF2D75C75A218E408A0F075DD4BD_element_41913"")>",4,1,5,4
SANTA ISABEL(산타 이사벨),블렌드,미디엄다크,직접무역,-,3,2,2,3
샹젤리제 블렌딩,블렌드,라이트미디엄,,-,2,4,5,2
디카페인 싱글 오리진 커피,디카페인,미디엄다크,,-,3,1,3,2
데일리 스윗 플러스,블렌드,미디엄,,-,3,4,4,3
시그니처 블랜드 언타이틀드,블렌드,미디엄,,-,3,3,5,2
맛좋은커피블렌드,블렌드,다크,공정무역,-,4,1,5,2
뉴커먼,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""6DACA6B194E49F6BB48E6B9896EC9AFC_element_42690"")>",4,2,3,1
블랙 블렌딩 커피,블렌드,다크,,-,5,1,4,3
조바티 브라운 블렌드,블렌드,미디엄다크,직접무역,-,3,3,3,2
디카페인 에티오피아 짐마,디카페인,미디엄다크,,-,3,2,4,2
Nube Gris 누베그리스,블렌드,미디엄다크,공정무역,-,4,2,4,3
리들리,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""7269F91B3A07B2C3693B7174124CDC04_element_43167"")>",4,2,4,3
하우스블렌드,블렌드,미디엄다크,공정무역,-,3,3,4,1
초코블라썸 블랜드,블렌드,라이트미디엄,,-,3,4,4,1
디카페인 어텀 블렌드,디카페인,미디엄,,-,3,2,4,3
바이올렛 블렌드,블렌드,라이트미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""0BBBE67B14673BBB60E159E7BBD0AE73_element_43694"")>",3,4,4,1
데일리 블루,블렌드,미디엄다크,직접무역,-,4,2,3,4
클래식 블렌드 1996,블렌드,라이트미디엄,,-,2,4,3,1
나이트아울 블렌드,블렌드,미디엄,공정무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""166A2D634508F18BB70C127598747432_element_43967"")>",4,2,5,3
온두라스 카바예로 워시드 아나에어로빅,싱글오리진,라이트미디엄,공정무역,-,3,3,5,1
과테말라 우에우에테낭고 디카페인,디카페인,미디엄,,-,3,1,3,2
커넥츠 블렌드,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""20D4F160BFBB4BEEAC0528BD7093878F_element_44273"")>",3,2,3,1
잘자요 디카페인,디카페인,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""0ECCBA39DD341B1F7AD85B5B49A7E263_element_44379"")>",4,1,3,4
리볼브,블렌드,미디엄,,-,3,3,5,1
아시아 블랜드,블렌드,다크,,-,4,1,3,4
파나마 페리엔 게이샤 워시드,싱글오리진,라이트미디엄,,-,3,3,4,1
핸디엄 밸런스 원두 아로마 5kg,블렌드,미디엄다크,,-,3,3,4,1
시그니처 블렌드,블렌드,미디엄,,-,4,4,3,4
일상 블렌드 L (라떼),블렌드,미디엄다크,,-,5,1,5,4
킵고잉 블렌드,블렌드,미디엄다크,,-,4,1,3,4
안목블렌드,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""D4A0F4AFC3B3DD4427890975CF7936F0_element_45180"")>",4,4,5,3
에티오피아 반티넨카,싱글오리진,라이트미디엄,직접무역,-,1,3,3,1
디카페인 에티오피아,디카페인,미디엄다크,공정무역,-,3,2,3,2
