userid,coffeeid,Stars,created_date,body,sour,sweet,bitter,caf,blend,single,지속가능성_0,지속가능성_공정무역,지속가능성_유기농,지속가능성_직접무역,로스팅 포인트_다크,로스팅 포인트_라이트,로스팅 포인트_라이트미디엄,로스팅 포인트_미디엄,로스팅 포인트_미디엄다크,꽃,과일,허브,달콤함,고소함,향료,초콜릿,Caffeine,CoffeeType,CupNoteCategories,Body,Sourness,Sweetness,Bitterness
28,311,2,2023-11-16 05:19:42.322473,3,4,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
28,453,5,2023-11-16 05:19:42.331168,5,1,5,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
28,471,4,2023-11-16 05:19:42.335171,4,3,3,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
1,64,5,2023-11-15 12:46:10.793300,5,1,5,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"['초콜릿', '달콤함', '고소함']",3,3,3,3
1,73,1,2023-11-15 12:46:10.795829,3,4,4,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,"['초콜릿', '달콤함', '고소함']",3,3,3,3
1,152,2,2023-11-15 12:46:10.798218,3,2,3,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,"['초콜릿', '달콤함', '고소함']",3,3,3,3
1,260,5,2023-11-15 12:46:10.800701,4,1,4,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['초콜릿', '달콤함', '고소함']",3,3,3,3
1,336,1,2023-11-15 12:46:10.802160,3,4,4,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['초콜릿', '달콤함', '고소함']",3,3,3,3
1,372,4,2023-11-15 12:46:10.804992,5,1,3,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['초콜릿', '달콤함', '고소함']",3,3,3,3
1,385,1,2023-11-15 12:46:10.806638,2,4,5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"['초콜릿', '달콤함', '고소함']",3,3,3,3
1,408,5,2023-11-15 12:46:10.813633,5,1,5,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['초콜릿', '달콤함', '고소함']",3,3,3,3
1,419,3,2023-11-15 12:46:10.815216,4,3,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"['초콜릿', '달콤함', '고소함']",3,3,3,3
1,536,5,2023-11-15 12:46:10.818605,4,1,3,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['초콜릿', '달콤함', '고소함']",3,3,3,3
22,73,2,2023-11-16 02:27:21.027266,3,4,4,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,"['향료', '고소함', '허브']",5,4,2,4
22,133,4,2023-11-16 02:27:21.031363,5,1,5,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['향료', '고소함', '허브']",5,4,2,4
22,519,4,2023-11-16 02:27:21.054107,4,2,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"['향료', '고소함', '허브']",5,4,2,4
22,11,4,2023-11-16 02:27:21.012580,4,1,3,4,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,"['향료', '고소함', '허브']",5,4,2,4
22,66,4,2023-11-16 02:27:21.022054,4,1,4,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"['향료', '고소함', '허브']",5,4,2,4
22,156,2,2023-11-16 02:27:21.035161,4,3,4,2,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,"['향료', '고소함', '허브']",5,4,2,4
22,247,3,2023-11-16 02:27:21.040274,4,3,4,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"['향료', '고소함', '허브']",5,4,2,4
22,274,5,2023-11-16 02:27:21.043974,3,1,3,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"['향료', '고소함', '허브']",5,4,2,4
22,426,1,2023-11-16 02:27:21.047904,3,4,4,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"['향료', '고소함', '허브']",5,4,2,4
22,524,4,2023-11-16 02:27:21.057691,3,2,3,3,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"['향료', '고소함', '허브']",5,4,2,4
21,152,5,2023-11-16 02:20:30.131832,3,2,3,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,['고소함'],4,2,3,2
21,556,3,2023-11-16 02:20:30.150919,5,1,3,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
21,494,2,2023-11-16 02:20:30.145946,3,3,4,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
21,14,4,2023-11-16 02:20:30.118944,4,1,4,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
21,509,2,2023-11-16 02:20:30.147700,3,4,4,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
21,115,4,2023-11-16 02:20:30.125283,4,3,5,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,['고소함'],4,2,3,2
21,148,2,2023-11-16 02:20:30.128443,4,1,3,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,['고소함'],4,2,3,2
21,203,4,2023-11-16 02:20:30.135524,4,1,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
21,210,3,2023-11-16 02:20:30.139098,4,3,4,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
21,479,3,2023-11-16 02:20:30.142544,4,2,4,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
38,152,2,2023-11-16 07:42:18.925142,3,2,3,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,"['초콜릿', '향료', '달콤함', '고소함']",2,1,5,4
38,315,5,2023-11-16 07:42:18.935288,4,1,5,4,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"['초콜릿', '향료', '달콤함', '고소함']",2,1,5,4
38,459,2,2023-11-16 07:42:18.942056,3,3,4,3,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,"['초콜릿', '향료', '달콤함', '고소함']",2,1,5,4
38,526,4,2023-11-16 07:42:18.947176,4,1,4,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"['초콜릿', '향료', '달콤함', '고소함']",2,1,5,4
38,203,4,2023-11-16 07:42:18.931971,4,1,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"['초콜릿', '향료', '달콤함', '고소함']",2,1,5,4
38,471,2,2023-11-16 07:42:18.943826,4,3,3,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"['초콜릿', '향료', '달콤함', '고소함']",2,1,5,4
38,96,5,2023-11-16 07:42:18.920421,5,1,4,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,"['초콜릿', '향료', '달콤함', '고소함']",2,1,5,4
38,18,3,2023-11-16 07:42:18.916858,4,2,4,3,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,"['초콜릿', '향료', '달콤함', '고소함']",2,1,5,4
38,195,3,2023-11-16 07:42:18.928679,3,1,2,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"['초콜릿', '향료', '달콤함', '고소함']",2,1,5,4
38,434,5,2023-11-16 07:42:18.938635,5,1,4,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"['초콜릿', '향료', '달콤함', '고소함']",2,1,5,4
17,260,4,2023-11-16 02:02:25.995528,4,1,4,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['고소함'],4,2,3,2
17,372,2,2023-11-16 02:02:26.003283,5,1,3,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['고소함'],4,2,3,2
17,551,3,2023-11-16 02:02:26.015656,3,3,3,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['고소함'],4,2,3,2
17,160,3,2023-11-16 02:02:25.993735,4,2,5,3,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,['고소함'],4,2,3,2
17,8,3,2023-11-16 02:02:25.984177,3,4,4,2,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,['고소함'],4,2,3,2
17,122,4,2023-11-16 02:02:25.990247,3,3,4,3,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,['고소함'],4,2,3,2
17,298,2,2023-11-16 02:02:25.999076,3,4,4,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['고소함'],4,2,3,2
17,473,4,2023-11-16 02:02:26.006748,3,2,4,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['고소함'],4,2,3,2
17,509,4,2023-11-16 02:02:26.010449,3,4,4,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['고소함'],4,2,3,2
17,541,3,2023-11-16 02:02:26.013871,3,3,3,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['고소함'],4,2,3,2
11,436,2,2023-11-16 01:03:26.527974,3,1,5,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['고소함'],3,2,3,2
11,223,2,2023-11-16 01:03:26.508929,4,2,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['고소함'],3,2,3,2
11,157,2,2023-11-16 01:03:26.504194,4,3,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,['고소함'],3,2,3,2
11,111,2,2023-11-16 01:03:26.496635,2,4,3,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,['고소함'],3,2,3,2
11,155,2,2023-11-16 01:03:26.500677,4,2,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,['고소함'],3,2,3,2
11,251,2,2023-11-16 01:03:26.512937,3,1,5,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['고소함'],3,2,3,2
11,258,5,2023-11-16 01:03:26.514851,4,3,4,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['고소함'],3,2,3,2
11,355,2,2023-11-16 01:03:26.518712,3,2,4,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['고소함'],3,2,3,2
11,424,5,2023-11-16 01:03:26.522423,4,2,4,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['고소함'],3,2,3,2
11,429,5,2023-11-16 01:03:26.525932,3,4,4,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['고소함'],3,2,3,2
14,436,2,2023-11-16 01:48:20.459738,3,1,5,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,['고소함'],4,2,1,2
14,472,2,2023-11-16 01:48:20.463403,4,1,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,['고소함'],4,2,1,2
14,346,2,2023-11-16 01:48:20.457837,5,1,5,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,['고소함'],4,2,1,2
14,342,2,2023-11-16 01:48:20.454347,3,4,4,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,['고소함'],4,2,1,2
14,495,4,2023-11-16 01:48:20.467110,3,3,4,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,['고소함'],4,2,1,2
14,133,5,2023-11-16 01:48:20.436013,5,1,5,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,['고소함'],4,2,1,2
14,160,3,2023-11-16 01:48:20.442102,4,2,5,3,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,['고소함'],4,2,1,2
14,173,4,2023-11-16 01:48:20.445633,5,1,4,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,['고소함'],4,2,1,2
14,265,5,2023-11-16 01:48:20.447454,4,3,5,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,['고소함'],4,2,1,2
14,303,2,2023-11-16 01:48:20.450894,3,4,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,['고소함'],4,2,1,2
43,436,5,2023-11-16 12:05:06.870865,3,1,5,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['초콜릿', '달콤함']",2,1,3,3
43,359,1,2023-11-16 12:05:06.859814,3,4,4,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"['초콜릿', '달콤함']",2,1,3,3
43,183,1,2023-11-16 12:05:06.849308,3,4,3,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,"['초콜릿', '달콤함']",2,1,3,3
43,191,5,2023-11-16 12:05:06.852870,3,2,5,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"['초콜릿', '달콤함']",2,1,3,3
43,75,5,2023-11-16 12:05:06.838020,4,1,5,3,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,"['초콜릿', '달콤함']",2,1,3,3
