id,컵 노트,꽃,과일,허브,달콤함,고소함,향료_풍미,초콜릿
3601,['null'],0,0,0,0,0,0,0
4450,['null'],0,0,0,0,0,0,0
3722,['null'],0,0,0,0,0,0,0
1343,"['다크 초콜릿', '카카오닙스']",0,0,0,0,0,0,1
1710,"['오렌지', '복숭아', '밀크 초콜릿']",0,1,0,0,0,0,1
1083,"['비스킷', '견과류', '오렌지']",0,1,0,0,1,0,0
3487,['null'],0,0,0,0,0,0,0
4691,['null'],0,0,0,0,0,0,0
4797,['null'],0,0,0,0,0,0,0
4220,['null'],0,0,0,0,0,0,0
3607,['null'],0,0,0,0,0,0,0
53,"['꽃', '오렌지', '자두', '카라멜', '산미와 단맛의 조화로움']",1,1,0,1,0,0,0
1342,"['견과류', '밀크 초콜릿']",0,0,0,0,1,0,1
3345,"['곡물의 고소함', '쌀과자', '강냉이']",0,0,0,0,1,0,0
1047,"['카라멜', '블랙체리', '밀크 초콜릿', '달다']",0,1,0,1,0,0,1
204,"['바닐라', '피스타치오', '크림브륄레', '밀크 초콜릿']",0,0,0,1,1,1,1
3340,['null'],0,0,0,0,0,0,0
3912,['null'],0,0,0,0,0,0,0
173,"['황설탕', '카카오닙스', '초콜릿']",0,0,0,1,0,0,1
3048,['null'],0,0,0,0,0,0,0
4613,['null'],0,0,0,0,0,0,0
3089,['null'],0,0,0,0,0,0,0
4010,['null'],0,0,0,0,0,0,0
1016,"['견과류', '카카오', '다크 초콜릿', '황설탕', '오렌지']",0,1,0,1,1,0,1
4683,"['달다', '베리류', '복숭아', '카라멜']",0,1,0,1,0,0,0
3801,['null'],0,0,0,0,0,0,0
3804,['null'],0,0,0,0,0,0,0
1063,"['다크 초콜릿', '카카오', '달다']",0,0,0,1,0,0,1
4334,['null'],0,0,0,0,0,0,0
3006,['null'],0,0,0,0,0,0,0
3390,['null'],0,0,0,0,0,0,0
3200,['null'],0,0,0,0,0,0,0
4878,['null'],0,0,0,0,0,0,0
281,"['캐슈넛', '견과류', '얼그레이', '감귤류', '달다']",0,1,1,1,1,0,0
83,"['다크 초콜릿', '카라멜', '달다']",0,0,0,1,0,0,1
3603,['null'],0,0,0,0,0,0,0
4600,['null'],0,0,0,0,0,0,0
1108,"['오렌지', '카라멜', '쥬시']",0,1,0,1,0,0,0
1066,"['아몬드', '카라멜', '사과', '자스민']",1,1,0,1,1,0,0
3643,['null'],0,0,0,0,0,0,0
124,"['초콜릿', '건자두', '흑설탕']",0,1,0,1,0,0,1
3157,['null'],0,0,0,0,0,0,0
168,"['밀크 초콜릿', '견과류']",0,0,0,0,1,0,1
3838,['null'],0,0,0,0,0,0,0
133,"['쌀밥', '땅콩', '아몬드', '설탕', '초콜릿']",0,0,0,1,1,0,1
4698,['null'],0,0,0,0,0,0,0
4310,['null'],0,0,0,0,0,0,0
3738,['null'],0,0,0,0,0,0,0
249,['null'],0,0,0,0,0,0,0
3153,['null'],0,0,0,0,0,0,0
3232,['null'],0,0,0,0,0,0,0
3602,['null'],0,0,0,0,0,0,0
3461,['null'],0,0,0,0,0,0,0
4818,['null'],0,0,0,0,0,0,0
4312,['null'],0,0,0,0,0,0,0
1092,['null'],0,0,0,0,0,0,0
3193,['null'],0,0,0,0,0,0,0
193,"['다크 초콜릿', '흑설탕']",0,0,0,1,0,0,1
1046,"['다크 초콜릿', '호두', '황설탕', '달다']",0,0,0,1,1,0,1
4524,['null'],0,0,0,0,0,0,0
3914,['null'],0,0,0,0,0,0,0
4776,['null'],0,0,0,0,0,0,0
1707,"['카라멜', '초콜릿', '오렌지', '케인슈가', '구운 땅콩']",0,1,0,1,1,0,1
3030,['null'],0,0,0,0,0,0,0
135,['과일'],0,1,0,0,0,0,0
1103,"['건자두', '다크 초콜릿', '아몬드', '홍차']",0,1,1,0,1,0,1
1119,"['구운 땅콩', '아몬드', '견과류']",0,0,0,0,1,0,0
206,"['자스민', '엘더베리', '달다']",1,1,0,1,0,0,0
3391,['null'],0,0,0,0,0,0,0
4483,['null'],0,0,0,0,0,0,0
3741,['null'],0,0,0,0,0,0,0
1725,['null'],0,0,0,0,0,0,0
3895,['null'],0,0,0,0,0,0,0
4484,['null'],0,0,0,0,0,0,0
3069,['null'],0,0,0,0,0,0,0
3177,['null'],0,0,0,0,0,0,0
3936,['null'],0,0,0,0,0,0,0
3465,['null'],0,0,0,0,0,0,0
1101,"['호두', '다크 초콜릿', '스모키']",0,0,0,0,1,1,1
12,"['초콜릿', '견과류']",0,0,0,0,1,0,1
3029,['null'],0,0,0,0,0,0,0
3070,['null'],0,0,0,0,0,0,0
4041,['null'],0,0,0,0,0,0,0
4759,['null'],0,0,0,0,0,0,0
3176,['null'],0,0,0,0,0,0,0
3586,['null'],0,0,0,0,0,0,0
72,"['구운 견과류', '황설탕', '카라멜']",0,0,0,1,1,0,0
1001,"['건과일', '초콜릿']",0,1,0,0,0,0,1
3071,['null'],0,0,0,0,0,0,0
3562,['null'],0,0,0,0,0,0,0
266,['null'],0,0,0,0,0,0,0
1723,['null'],0,0,0,0,0,0,0
3333,['null'],0,0,0,0,0,0,0
1300,"['다크 초콜릿', '구운 견과류', '카카오닙스', '버번위스키']",0,0,0,0,1,1,1
4487,['null'],0,0,0,0,0,0,0
3043,['null'],0,0,0,0,0,0,0
3148,['null'],0,0,0,0,0,0,0
74,['초콜릿'],0,0,0,0,0,0,1
1013,"['귤', '시나몬', '꿀']",0,1,0,1,0,1,0
4802,['null'],0,0,0,0,0,0,0
3047,['null'],0,0,0,0,0,0,0
3196,['null'],0,0,0,0,0,0,0
231,"['호두', '땅콩', '흑설탕', '카카오', '시리얼']",0,0,0,1,1,0,1
3930,"['복숭아', '자두', '딸기', '바닐라']",0,1,0,0,0,1,0
1118,['견과류'],0,0,0,0,1,0,0
3447,['null'],0,0,0,0,0,0,0
1024,"['오렌지', '복숭아', '호두']",0,1,0,0,1,0,0
13,"['과일', '꽃']",1,1,0,0,0,0,0
4008,['null'],0,0,0,0,0,0,0
3404,['null'],0,0,0,0,0,0,0
3503,['null'],0,0,0,0,0,0,0
1340,"['카라멜', '건과일', '아몬드']",0,1,0,1,1,0,0
4061,['null'],0,0,0,0,0,0,0
3068,['null'],0,0,0,0,0,0,0
4799,['null'],0,0,0,0,0,0,0
3614,['null'],0,0,0,0,0,0,0
4052,['null'],0,0,0,0,0,0,0
4760,['null'],0,0,0,0,0,0,0
3513,['null'],0,0,0,0,0,0,0
4015,['null'],0,0,0,0,0,0,0
1727,['null'],0,0,0,0,0,0,0
3557,['null'],0,0,0,0,0,0,0
3507,['null'],0,0,0,0,0,0,0
4614,['null'],0,0,0,0,0,0,0
4408,['null'],0,0,0,0,0,0,0
4750,['null'],0,0,0,0,0,0,0
1209,"['다크 초콜릿', '케인슈가']",0,0,0,1,0,0,1
4014,['null'],0,0,0,0,0,0,0
3020,['null'],0,0,0,0,0,0,0
190,"['크랜베리', '라즈베리', '밀크 초콜릿']",0,1,0,0,0,0,1
1702,"['오렌지', '자몽', '달다']",0,1,0,1,0,0,0
4695,['null'],0,0,0,0,0,0,0
4736,['null'],0,0,0,0,0,0,0
4699,['null'],0,0,0,0,0,0,0
1494,"['꽃', '베리류', '스톤프루츠']",1,1,0,0,0,0,0
119,"['베리류', '초콜릿']",0,1,0,0,0,0,1
56,"['딸기', '마시멜로', '오렌지', '리치']",0,1,0,1,0,0,0
4705,['null'],0,0,0,0,0,0,0
4697,['null'],0,0,0,0,0,0,0
1048,"['베리류', '케인슈가', '스톤프루츠']",0,1,0,1,0,0,0
3839,['null'],0,0,0,0,0,0,0
1049,"['사과', '탠저린', '카라멜', '단호박', '다크 초콜릿']",0,1,0,1,0,0,1
3736,['null'],0,0,0,0,0,0,0
1296,"['건과일', '땅콩카라멜', '카카오']",0,1,0,1,1,0,1
3042,['null'],0,0,0,0,0,0,0
3008,['null'],0,0,0,0,0,0,0
55,"['헤이즐넛', '누텔라']",0,0,0,0,1,0,1
3910,['null'],0,0,0,0,0,0,0
