,ID,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
케냐 AA TOP 키안두 스페셜티 풀리워시드,4426,싱글오리진,미디엄,,-,3,4,4,2
블렌드 C,3444,블렌드,미디엄다크,,-,3,3,4,2
"LIGHT,LIGHTER 에티오피아 하마쇼 내추럴",4736,싱글오리진,라이트,,-,4,3,5,1
고독,3152,블렌드,미디엄다크,공정무역,-,5,1,4,3
나폴리,1066,블렌드,미디엄,,"아몬드, 카라멜, 애플, 자스민",4,4,5,2
올드스쿨(Old School),3090,블렌드,다크,,-,4,2,5,3
브레가 블렌딩,3067,블렌드,미디엄다크,,-,4,2,4,2
블랙 앤 모어,1023,블렌드,다크,,"호두, 다크초콜릿, 카카오, 버터",5,1,4,2
다크로스팅 에티오피아 웨스트 아라시 넨세보 만도예 워시드,4726,싱글오리진,미디엄다크,,-,3,3,4,2
에티오피아 예가체프 아리차 에이미 G1 내츄럴,3020,싱글오리진,라이트미디엄,,-,3,4,4,1
D3,3505,블렌드,다크,,-,4,1,3,4
노 피어,3402,블렌드,다크,,-,4,1,4,4
코스타리카 핀카 마초 워시드,4772,싱글오리진,미디엄,,-,3,3,4,1
스윗가이 블랜드,3022,블렌드,미디엄,,-,3,4,4,3
꼬수운돌솥밥 블렌딩,3005,블렌드,미디엄다크,,-,4,1,5,5
레드써클 블렌드,3406,블렌드,미디엄,,-,3,4,4,2
풍요로운 땅,120,블렌드,다크,직접무역,"밀크 초콜릿, 땅콩카라멜, 향신료, 엘더베리",4,3,4,4
콜롬비아 수프리모,4705,싱글오리진,미디엄다크,,-,3,3,3,1
아침 블랜드,4057,블렌드,다크,,-,5,1,4,4
블렌드 애플 레드,2994,블렌드,라이트미디엄,,-,2,4,5,2
44도 블렌드,1101,블렌드,다크,,"호두, 다크초콜릿, 스모키",4,1,4,3
클래식 에스프레소,1041,블렌드,다크,,"다크 초콜릿, 카카오닙스, 묵직한 바디, 피칸",5,1,4,3
과테말라 안티구아 파노라마 SHB EP 풀리워시드,4429,싱글오리진,미디엄,,-,3,2,4,3
브라질 세라도 디카페인,3896,디카페인,미디엄다크,,-,4,2,4,3
딥 밸런스,235,블렌드,미디엄,유기농,초콜릿,4,1,3,4
제우스 블렌딩,4684,블렌드,미디엄,,-,4,2,4,3
어느푸른저녁,54,블렌드,미디엄,,"플로럴, 열대과일, 딸기, 청포도, 아몬드, 시러피, 밸런스",3,3,4,1
과테말라 산타펠리사 블루제이드,3603,싱글오리진,미디엄,,-,3,2,4,3
G'day Blend (좋은 하루의 시작),3705,블렌드,미디엄다크,,-,4,1,4,4
블랙 블렌드,3141,블렌드,다크,,-,5,3,4,4
디카페인 시그니처 다크 블렌드,4408,디카페인,다크,,-,4,3,4,4
Hammock (해먹),3217,블렌드,미디엄,,-,4,1,4,2
프라이데이,274,블렌드,미디엄다크,,"블랙베리, 구운 아몬드, 밀크 초콜릿",5,3,4,2
커튼콜,3391,블렌드,미디엄,,-,3,4,4,2
ESPRESSO 3s,174,블렌드,다크,직접무역,"과일잼, 홍차, 좋은 단맛",3,3,4,2
브라질 캄포 알레그레,225,싱글오리진,미디엄,직접무역,"사과, 말린 자두의 향, 대추, 다크 초콜릿",4,3,4,1
빈야도르 블렌드,113,블렌드,라이트,,"와이니, 오렌지, 라임, 달고 깨끗함",2,4,4,1
폴라베어 블랜딩,3605,블렌드,라이트미디엄,,-,4,3,5,2
시그니처 블랜드 타이틀드,3064,블렌드,미디엄,,-,3,3,5,2
콜롬비아 디카페인 한국커피 셀렉션,1038,디카페인,미디엄다크,직접무역,-,3,2,4,2
메리 옐로우,3465,블렌드,라이트미디엄,,-,1,4,4,1
조이가이 블랜드,3024,블렌드,미디엄다크,,-,4,2,5,2
웨이브온 블렌드,223,블렌드,미디엄다크,직접무역,"은은한 산미, 견과류 단맛, 다크초콜릿 후미",3,2,3,3
파푸아뉴기니 마라와카 블루마운틴,3894,싱글오리진,미디엄다크,,-,3,3,4,3
에티오피아 시다마 파피초 내추럴,1723,싱글오리진,라이트,,-,2,3,5,1
클래식 골드 블렌드,3241,블렌드,다크,직접무역,-,4,1,4,3
ETNA(에트나),4445,블렌드,미디엄,직접무역,-,3,3,4,2
마이 로맨스,56,블렌드,미디엄,직접무역,"딸기, 마시멜로, 오렌지향, 리치",3,4,4,2
디카페인 원두 (브라질),3725,디카페인,미디엄다크,,-,4,1,4,4
브라이트,1024,블렌드,라이트미디엄,,"오렌지, 복숭아, 월넛, 밀키한 텍스쳐",2,4,3,1
모카 블렌딩,4698,블렌드,미디엄다크,,-,4,1,3,2
레드 블렌딩 커피,3194,블렌드,미디엄,,-,2,4,3,1
싸우스폴 블렌드,83,블렌드,미디엄다크,,"다크 초콜릿, 카라멜, 은은하며 달다, 클린",4,1,4,1
에티오피아 디카페인,3895,디카페인,라이트미디엄,,-,3,4,4,3
브루클린,42,블렌드,미디엄,,"얼그레이, 히비스커스, 믹스드 베리",3,3,4,1
브라질 I.P 아카이아 내추럴,1736,싱글오리진,미디엄,,-,2,2,4,1
디카페인 올 데이 블렌드,137,디카페인,다크,,시나몬,5,2,3,4
호수 블렌드,4332,블렌드,다크,,-,5,1,5,2
네이비렄 블렌드,3030,블렌드,미디엄다크,,-,3,2,4,2
와이칸 다크,1331,싱글오리진,다크,직접무역,"다크초콜릿, 블랙체리, 잼, 솔티드카라멜",4,4,5,4
Enak 블렌딩,3456,블렌드,미디엄,유기농,-,4,2,4,3
송버드(Song Bird),3084,블렌드,미디엄,,-,2,4,4,1
인도네시아 만델링 G1 트리플픽,4428,싱글오리진,미디엄다크,,-,4,1,4,4
