,ID,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
리밀 블렌드,1016,블렌드,미디엄다크,,"견과류, 카카오, 다크초콜릿, 브라운슈가, 오렌지",4,2,4,4
랑케블랙,4316,블렌드,다크,,-,5,1,4,4
하이홉스 시즈널블랜드,3929,블렌드,미디엄,,-,3,3,5,2
휘둥그레블렌드,4760,블렌드,미디엄다크,공정무역,-,4,1,4,3
Classic Plus Blend,195,블렌드,다크,직접무역,"다크 초콜릿, 카카오, 아몬드",5,1,5,4
바이올렛 블렌딩 커피,3199,블렌드,미디엄다크,,-,2,2,3,1
삼척블렌드,2998,블렌드,미디엄다크,,-,5,2,4,3
Parachute (패러슈트),3219,블렌드,미디엄,,-,3,2,5,2
마일드 블렌딩,4699,블렌드,미디엄다크,,-,3,2,3,3
고소한쌀밥 블렌딩,133,블렌드,미디엄다크,,"쌀밥, 땅콩, 아몬드, 설탕, 초콜렛",3,1,4,2
우리집블렌드,3012,블렌드,미디엄다크,공정무역,-,3,2,4,1
포트리스 블렌드,1713,블렌드,미디엄다크,,-,4,2,4,4
CALLA LILY(칼라 릴리),4448,싱글오리진,미디엄,직접무역,-,3,3,3,2
과테말라 엘 소코로 버본,4775,싱글오리진,라이트,,-,3,4,4,1
클래식 블렌드,4611,블렌드,다크,,-,4,1,4,3
Blend N.1,69,블렌드,라이트,,"시트러스, 바닐라, 크리미 바디, 시러피, 복숭아",3,3,5,1
에티오피아 예가체프 할로베리티 G1 워시드,3450,싱글오리진,라이트미디엄,,-,2,4,4,2
마블 디카프,4842,디카페인,미디엄다크,,-,3,2,5,3
콜롬비아 디카페인 에스프레소,1045,디카페인,다크,,"감초, 다크 초콜릿, 카카오닙스",4,1,5,4
Decaf 디카페인,3516,디카페인,미디엄,공정무역,-,4,4,4,2
퍼플렄 블렌드,3027,블렌드,라이트미디엄,,-,3,3,4,1
블렌드 A,168,블렌드,미디엄다크,,"밀크 초콜릿, 견과류, 깔끔한 바디",4,2,4,3
디카페인 원두,3357,디카페인,미디엄다크,,-,3,1,4,2
아헨 Aachen,4801,블렌드,미디엄다크,,-,4,2,4,1
람블라 블렌딩,3070,블렌드,미디엄다크,,-,3,2,4,2
디카페인 스윗 블라썸 블렌드,4407,디카페인,다크,,-,4,3,4,3
봄 블랜드,4188,블렌드,라이트미디엄,,-,3,4,4,1
디카페인 과테말라 블렌드,136,디카페인,미디엄다크,,초콜릿,4,3,2,4
과테말라 엘 소코로 산 로렌조 스페셜티,3841,싱글오리진,미디엄다크,,-,4,1,4,2
콜롬비아 디카페인 커피 원두 새벽,4004,디카페인,미디엄다크,공정무역,-,4,2,4,2
버밀리온 블렌딩,3901,블렌드,미디엄,,-,3,2,4,3
과테말라 안티구아 디카페인,189,디카페인,다크,,초콜릿,4,1,4,4
짙은 블렌드,3016,블렌드,미디엄다크,,-,4,2,4,3
블루문,3042,디카페인,미디엄다크,,-,4,1,4,2
투게더 블렌드,3617,블렌드,다크,유기농,-,4,1,4,4
다크그린 블렌딩 커피,3198,블렌드,미디엄다크,,-,3,2,3,2
자몽 블렌딩,1121,블렌드,미디엄다크,,"자몽, 과일",4,3,4,2
콜롬비아 엘 오브라헤 게이샤 무산소발효 내추럴,4010,싱글오리진,라이트,,-,3,4,4,2
스테이블 블렌드,4309,블렌드,미디엄,,-,3,2,4,1
딥 스모키,275,블렌드,미디엄다크,유기농,-,5,1,3,5
Avo 블랜드,3707,블렌드,라이트미디엄,,-,2,4,3,2
뉴월드 블렌드,4750,블렌드,미디엄다크,직접무역,-,3,2,3,3
러스트 블렌딩,3903,블렌드,미디엄다크,,-,4,1,4,4
피타 블렌드,1107,블렌드,미디엄다크,직접무역,"시트러스, 살구, 캐러멜, 허니",3,3,4,2
옐로우렄블렌드,3345,블렌드,미디엄다크,,-,4,2,4,2
그 해 겨울,1040,블렌드,미디엄,직접무역,"체리, 라즈베리, 밀크 초콜릿, 헤이즐넛, 좋은 밸런스, 클린",4,3,5,1
라까프 핀 블렌드,3160,블렌드,다크,공정무역,-,4,1,4,4
BEIGE 블랜드,1210,블렌드,라이트,,"플로럴, 오렌지",3,4,5,1
엘 카미노,11,블렌드,미디엄다크,,"견과류, 초콜릿",3,1,4,3
피어투피어,1093,블렌드,미디엄,,"오렌지, 밀크초콜렛, 케인슈가, 블랙티",2,3,3,1
에티오피아 예가체프 게이샤 G1 내추럴,3602,싱글오리진,라이트,,-,3,4,4,2
디카페인 과테말라,4602,디카페인,미디엄다크,공정무역,-,3,3,3,2
리허설,3393,블렌드,미디엄다크,,-,3,2,3,2
피치 슬럽 블렌드,1494,블렌드,라이트미디엄,,"꽃향기, 베리류, 핵과류",2,3,4,2
7:01AM 블렌드,3359,블렌드,다크,,-,4,1,4,3
콜롬비아 아마티보 로꼬시리즈 카리베,3176,싱글오리진,미디엄,,-,2,3,5,2
BURUNDI ROYAL BEATS(부룬디 로얄 비츠),4455,싱글오리진,미디엄,직접무역,-,4,3,3,2
오드아이,228,블렌드,다크,,초콜릿,5,1,5,4
반월 블렌드,4331,블렌드,다크,,-,4,2,5,1
Zero WAVE : Ordinary,1311,블렌드,다크,,"다크초콜릿, 토피넛, 카카오",4,1,4,4
디카페인 엘살바도르,4600,디카페인,미디엄다크,공정무역,-,3,2,3,2
BRICK 블랜드,1209,블렌드,미디엄다크,,"다크초콜릿, 사탕수수",4,1,4,1
인도 블랜드,3706,블렌드,다크,,-,5,1,3,4
BAGUS 블렌딩,3461,블렌드,미디엄다크,유기농,-,5,2,3,4
M블랙,4692,블렌드,다크,,-,5,1,4,3
비터스윗,3563,블렌드,미디엄다크,,-,4,2,3,4
브라질 산타루시아,3223,싱글오리진,미디엄,,-,2,2,4,2
매뉴얼,5,블렌드,미디엄다크,,-,4,2,4,3
브릭 에스프레소,1043,블렌드,미디엄다크,,"카라멜, 흑설탕, 블랙티, 오렌지, 라운드한 촉감",3,2,4,2
에티오피아 예가체프 게이샤,3891,싱글오리진,라이트미디엄,,-,3,4,4,3
허클베리,292,블렌드,미디엄,,"크랜베리, 카라멜, 초콜릿",2,3,4,1
콜롬비아 수프리모 후일라 산 비센테 라 플라타,4443,싱글오리진,미디엄,,-,3,4,3,2
비터스윗 라이프 에디션1,51,블렌드,미디엄다크,,"카라멜, 황설탕, 밀크초콜릿, 균형감있는 단맛",4,2,4,3
어텀 블렌드,3584,블렌드,미디엄,,-,3,2,4,3
인도 마이소르 너겟 엑스트라 볼드,1092,싱글오리진,다크,,-,5,1,5,4
Blend Dark,1727,블렌드,다크,,-,4,1,3,5
Ethiopia Guji G1(에티오피아 구지 G1),4799,싱글오리진,미디엄,직접무역,-,3,3,3,2
공단향 블렌드,103,블렌드,다크,,"카카오, 다크 초콜릿, 블랙베리",4,2,5,4
스윗 앤 모어,1022,블렌드,미디엄다크,,"사탕수수, 카라멜, 밀크 초콜릿, 아몬드",4,2,4,1
헥사 블렌드,1103,블렌드,미디엄다크,,"말린 자두, 다크초콜릿, 아몬드, 홍차",4,3,3,2
숲,118,블렌드,미디엄,직접무역,"볶은 땅콩, 향신료, 코코아, 레몬",4,4,5,1
에티오피아 카욘마운틴 내추럴 구지 G1 스페셜티,4008,싱글오리진,미디엄,공정무역,-,3,3,4,2
미드나잇 블루 (디카페인 원두),3614,디카페인,다크,,-,4,1,4,3
푸짐한알밥 블렌딩,1200,블렌드,미디엄다크,,"쌀밥, 땅콩, 카카오, 보리차, 옥수수",4,1,3,4
디 카페인 블렌드,37,디카페인,미디엄다크,,-,4,1,4,3
2시 15분,3437,블렌드,미디엄,공정무역,-,3,4,5,1
룰라바이,1013,디카페인,미디엄,,"귤, 시나몬, 꿀",2,3,5,1
오드 블렌드,1205,블렌드,미디엄,,"과일, 크리미, 홍차",3,3,4,2
비숲,203,블렌드,다크,직접무역,"레드와인, 다크 초콜릿, 흑설탕, 낮은 산미",3,1,3,4
간편한즉석밥 블렌딩,1201,블렌드,미디엄다크,,"쌀밥, 땅콩, 설탕, 보리차, 옥수수",3,1,3,4
케냐 띠리쿠 AA 워시드,4826,싱글오리진,미디엄,,-,4,4,5,1
하드워커,1063,블렌드,미디엄다크,,"다크초콜릿, 카카오, 비터스윗",3,2,4,2
컨트리사이드 디카페인 싱글오리진,3963,디카페인,미디엄다크,,-,4,3,5,4
허니서클 블렌드,3011,블렌드,미디엄,,-,3,2,4,2
블렌드 캔디 그린,2992,블렌드,라이트미디엄,,-,2,4,3,2
디카페인 에티오피아 블렌드,135,디카페인,라이트미디엄,,과일,3,4,5,2
리치 라운드,3207,블렌드,미디엄다크,,-,2,2,4,3
라이프 블렌드,4482,블렌드,다크,,-,4,1,4,3
케냐 뚱구리 피베리,4778,싱글오리진,라이트,,-,4,5,5,1
피렌체,3038,블렌드,미디엄다크,,-,5,1,3,4
휴식 블랜드,4056,블렌드,미디엄다크,,-,4,2,4,3
스페셜티 블렌드,3616,블렌드,미디엄,,-,2,4,4,1
호이스트,1002,블렌드,미디엄,,"감귤, 사과쥬스, 시럽같은 촉감, 카카오, 다채로운",3,3,4,1
밸런스,3562,블렌드,미디엄다크,,-,3,3,3,3
Caramelo 카라멜로,3514,블렌드,미디엄,공정무역,-,3,4,4,1
콜롬비아 파라이소92 핑크버본,4524,싱글오리진,라이트,,-,1,3,4,1
에티오피아 블렌드,4695,블렌드,미디엄,,-,3,3,4,1
아몬드 블렌딩,1119,블렌드,미디엄다크,,"구운 땅콩, 아몬드, 견과류",4,3,4,2
디어 베이커,276,블렌드,미디엄,유기농,-,4,3,4,1
디카프 브라질 NY2/3 mountain water,1495,디카페인,미디엄다크,,"마카다미아, 땅콩, 누룽지",4,1,4,2
시그니처 블랜드 000 디카페인,3075,디카페인,미디엄다크,,-,3,1,5,2
과테말라 웨웨테낭고 SHB 디카페인,82,디카페인,미디엄다크,,"아몬드, 밀크초콜릿, 군밤",3,2,4,1
에티오피아 예가체프 아리차 g1 내추럴,3458,싱글오리진,라이트미디엄,유기농,-,3,4,5,1
[다크] 케냐 키리냐가 아실리 AA+ 워시드,4522,싱글오리진,미디엄다크,,-,4,2,4,3
페루 엘 세드로 마르셀 워시드,4785,싱글오리진,라이트,,-,3,4,4,1
명지바람,3608,블렌드,미디엄다크,유기농,-,3,4,2,2
커피가이 블렌드,3006,블렌드,미디엄,,-,4,3,5,2
극야 블렌드,280,블렌드,다크,,"다크초콜릿, 구운 견과류, 카카오닙스, 묵직한 바디감",5,1,4,4
우일라 디카페인,127,디카페인,미디엄다크,,초콜릿,3,3,4,2
레스벗베러,18,블렌드,다크,,"다크초콜릿, 카라멜, 적은 산미, 좋은 바디감",4,1,5,4
SANTA ISABEL(산타 이사벨),4447,블렌드,미디엄다크,직접무역,-,3,2,2,3
샹젤리제 블렌딩,3072,블렌드,라이트미디엄,,-,2,4,5,2
디카페인 싱글 오리진 커피,3196,디카페인,미디엄다크,,-,3,1,3,2
데일리 스윗 플러스,3429,블렌드,미디엄,,-,3,4,4,3
시그니처 블랜드 언타이틀드,3071,블렌드,미디엄,,-,3,3,5,2
맛좋은커피블렌드,3014,블렌드,다크,공정무역,-,4,1,5,2
뉴커먼,1026,블렌드,미디엄다크,,"견과류, 오렌지, 헤비 바디",4,2,3,1
블랙 블렌딩 커피,3195,블렌드,다크,,-,5,1,4,3
조바티 브라운 블렌드,3911,블렌드,미디엄다크,직접무역,-,3,3,3,2
디카페인 에티오피아 짐마,2999,디카페인,미디엄다크,,-,3,2,4,2
Nube Gris 누베그리스,3513,블렌드,미디엄다크,공정무역,-,4,2,4,3
리들리,191,블렌드,미디엄다크,,"볶은 견과류, 아몬드 초콜릿, 몰트",4,2,4,3
하우스블렌드,3015,블렌드,미디엄다크,공정무역,-,3,3,4,1
초코블라썸 블랜드,3356,블렌드,라이트미디엄,,-,3,4,4,1
디카페인 어텀 블렌드,3587,디카페인,미디엄,,-,3,2,4,3
바이올렛 블렌드,1479,블렌드,라이트미디엄,,"오렌지, 건포도, 카라멜",3,4,4,1
데일리 블루,4484,블렌드,미디엄다크,직접무역,-,4,2,3,4
클래식 블렌드 1996,4305,블렌드,라이트미디엄,,-,2,4,3,1
나이트아울 블렌드,232,블렌드,미디엄,공정무역,초콜릿,4,2,5,3
온두라스 카바예로 워시드 아나에어로빅,4797,싱글오리진,라이트미디엄,공정무역,-,3,3,5,1
과테말라 우에우에테낭고 디카페인,3231,디카페인,미디엄,,-,3,1,3,2
커넥츠 블렌드,1012,블렌드,미디엄,,"월넛, 몰트, 브라운슈가, 건포도, 오렌지, 굿밸런스",3,2,3,1
잘자요 디카페인,282,디카페인,다크,,"브라우니, 다크 초콜릿, 구운 견과류, 크래커",4,1,3,4
리볼브,185,블렌드,미디엄,,-,3,3,5,1
아시아 블랜드,4790,블렌드,다크,,-,4,1,3,4
파나마 페리엔 게이샤 워시드,3740,싱글오리진,라이트미디엄,,-,3,3,4,1
핸디엄 밸런스 원두 아로마 5kg,3526,블렌드,미디엄다크,,-,3,3,4,1
시그니처 블렌드,3556,블렌드,미디엄,,-,4,4,3,4
일상 블렌드 L (라떼),3722,블렌드,미디엄다크,,-,5,1,5,4
킵고잉 블렌드,4689,블렌드,미디엄다크,,-,4,1,3,4
안목블렌드,146,블렌드,미디엄다크,,"감귤류, 살구, 피칸, 마카다미아, 아몬드",4,4,5,3
에티오피아 반티넨카,3229,싱글오리진,라이트미디엄,직접무역,-,1,3,3,1
디카페인 에티오피아,4603,디카페인,미디엄다크,공정무역,-,3,2,3,2
마르께,1089,블렌드,다크,,"구운 아몬드, 밀크 초콜릿, 좋은 바디",4,2,4,3
덕분에블렌드,3009,블렌드,미디엄,공정무역,-,4,3,4,1
에티오피아 예가체프 첼바 쿠멜라초 G1,3802,싱글오리진,라이트,,-,2,4,5,1
밀밭,3153,블렌드,라이트미디엄,공정무역,-,4,4,4,3
모리 로부스타 쎄 허니,3935,싱글오리진,라이트미디엄,직접무역,-,4,1,4,2
홀레스트,231,블렌드,다크,,"호두, 땅콩, 흑설탕, 카카오, 시리얼",4,1,4,2
시그니처블렌드 B,3836,블렌드,미디엄다크,,-,3,2,4,1
위시풀 블렌드,4311,블렌드,미디엄,,-,3,3,5,3
진양조,70,블렌드,미디엄다크,,"견과류, 옥수수, 긴 여운",3,1,3,3
과테말라 파노라마,3232,싱글오리진,미디엄다크,,-,3,1,4,2
프렌들리 블렌드,4052,블렌드,미디엄다크,,-,4,2,5,2
소소하게 블렌드,3017,블렌드,미디엄,,-,4,1,4,3
밸런스 블렌드,4612,블렌드,미디엄,,-,3,3,4,3
L 블렌드,4823,블렌드,다크,,-,4,1,4,3
날아올라,206,싱글오리진,라이트,직접무역,"자스민, 복합적, 엘더베리, 달다",4,4,4,2
다크블루,1731,블렌드,미디엄다크,,-,4,1,5,2
과테말라 와이칸 워시드,4014,싱글오리진,라이트미디엄,,-,3,3,4,2
아로마,3565,블렌드,라이트미디엄,,-,2,4,2,1
에티오피아 게이샤 피치 G1,4488,싱글오리진,라이트,공정무역,-,3,4,3,1
블렌드 루트 블랙,1725,블렌드,미디엄다크,,-,5,1,4,3
타이거 스모크 블랜드,3557,블렌드,다크,,-,5,1,5,2
센스 앤 센서빌리티,53,블렌드,미디엄,,"꽃향, 오렌지, 자두, 카라멜, 산미와 단맛의 조화로움",3,4,4,2
멕시코 디카페인,1573,디카페인,라이트미디엄,,"카카오닙스, 스카치캔디, 블랙티",3,3,4,3
뷰블렌드,3937,블렌드,다크,,-,3,1,2,3
마젠타 블렌드,3142,블렌드,미디엄,,-,2,4,3,1
에스프레션,3561,블렌드,미디엄,,-,4,2,4,3
콜롬비아 후일라 수프리모,3008,싱글오리진,미디엄다크,,-,4,3,4,2
에티오피아 구지 라요 타라가 워시드,1589,싱글오리진,라이트미디엄,,"플로럴, 망고, 오렌지, 사탕수수, 살구",3,4,3,1
33도 블렌드,218,블렌드,라이트미디엄,,"청포도, 꿀, 꽃",1,3,4,1
L1,3507,블렌드,라이트미디엄,,-,2,4,3,2
알파 블렌드,4730,블렌드,미디엄다크,,-,4,1,4,3
그린 블렌딩 커피,1298,블렌드,미디엄다크,,"바닐라, 월넛, 브라운 슈가, 건포도",4,3,4,2
라 콜리나,3401,블렌드,미디엄,,-,2,3,3,2
다크초콜릿 블렌드,1474,블렌드,다크,,"피넛캔디, 흑설탕, 마카다미아",5,1,4,2
케냐 AA TOP 오타야 칭가 퀸,3892,싱글오리진,미디엄다크,,-,5,3,5,3
콜롬비아 핀카 라 레세르바 카투라치로소,4786,싱글오리진,라이트,,-,4,4,4,1
66도 블렌드,219,블렌드,미디엄,,"밀크 초콜릿, 감귤, 군고구마",3,1,3,2
바다블렌드,3936,블렌드,미디엄다크,,-,4,3,4,2
크로마 블렌드,4800,블렌드,미디엄,공정무역,-,4,3,4,3
Santo Negro 산토네그로,3515,블렌드,다크,공정무역,-,4,1,5,4
율 디캐프,1477,디카페인,라이트,,"녹차, 홍차, 블랙슈가",2,2,3,1
(배전도: 에스프레소)디카페인 과테말라,3333,디카페인,미디엄다크,공정무역,-,3,3,4,3
라까프 에스프레소 블렌드,3161,블렌드,미디엄다크,공정무역,-,4,3,4,3
브라질 리마오호사,4776,싱글오리진,라이트,,-,3,2,3,1
버밀리온 헤오 블렌딩,3902,블렌드,미디엄다크,,-,4,1,4,3
시티섬머블루스 시즈널블랜드,3930,블렌드,라이트미디엄,,-,3,4,5,1
콜롬비아 살피콘 게이샤 CM내추럴,3741,싱글오리진,라이트미디엄,,-,3,4,4,2
에티오피아 시다모 문타샤,3643,싱글오리진,라이트미디엄,,-,3,3,5,1
콜롬비아 라 레세르바 카투라 치로소,4334,싱글오리진,미디엄,,-,3,3,4,3
블랙가이 블랜드,3025,블렌드,미디엄,,-,5,1,5,2
에티오피아 예가체프 아리차 G1 워시드,3590,싱글오리진,라이트,,-,3,4,4,1
케냐 AA TOP 키린야가 카리아,3591,싱글오리진,미디엄,,-,3,3,4,2
보니타 블렌딩,4697,블렌드,미디엄다크,,-,3,1,3,1
모리 케피어 로부스타 TR4,3801,싱글오리진,미디엄,직접무역,-,4,1,4,2
케냐 뚱구리 AA TOP 워시드,3145,싱글오리진,미디엄,,-,4,3,4,2
콜롬비아 비야라조 민트,3737,싱글오리진,라이트미디엄,,-,3,3,3,2
W 블렌드,1343,블렌드,다크,,"다크 초콜릿, 카카오닙스",5,1,2,4
보이져,13,블렌드,미디엄,,"과일, 꽃향기",3,4,4,2
올드타운,291,블렌드,미디엄,,"오렌지, 카라멜, 초콜릿",3,3,4,2
보난자 블렌드,1502,블렌드,미디엄,공정무역,"흑설탕, 다트 초콜릿, 초콜릿 트러플, 블랙 체리",2,3,4,2
이태리스페셜,1110,블렌드,다크,,"로스티넛트, 풀바디, 다크초콜렛",5,1,4,4
M1,3506,블렌드,미디엄,,-,3,3,4,3
브릴리,204,싱글오리진,미디엄다크,직접무역,"바닐라, 피스타치오, 크림브륄레, 밀크초콜릿",4,1,5,3
캄블렌드,4220,블렌드,미디엄다크,,-,4,1,4,3
콜롬비아 엘 카르멘 디카프,1505,디카페인,미디엄다크,공정무역,"꿀, 배, 자두",4,1,5,2
초코퍼지 블렌딩 커피,3197,블렌드,다크,,-,4,1,4,3
마리모,193,블렌드,다크,,"다크 초콜릿, 블랙 슈가",4,1,4,3
그레이무드 블랜드,3355,블렌드,미디엄다크,,-,4,1,5,1
와이칸,3446,싱글오리진,미디엄다크,직접무역,-,3,4,5,3
인디언 헤드,1046,블렌드,다크,,"다크 초콜릿, 월넛, 브라운 슈거, 스윗니스",4,1,4,3
웡카 블렌드,3010,블렌드,다크,,-,5,1,5,4
"DEEP, DEEPLY 딥 딥플리",4717,블렌드,미디엄다크,,-,4,2,5,2
밝은 블렌드,3018,블렌드,라이트미디엄,,-,3,4,4,1
콜롬비아 수프리모 SW 디카프,1083,디카페인,미디엄,,"비스킷, 너트, 오렌지",2,2,3,2
케냐 뚱구리 AA 워시드,3840,싱글오리진,미디엄,,-,3,4,3,1
발렌타인 플러스,1025,블렌드,미디엄다크,,"다크초콜릿, 오크, 감귤, 카라멜",5,2,3,2
과테말라 아구아 티비아 게이샤 워시드,4817,싱글오리진,라이트,,-,3,3,5,1
Blend N.4,72,블렌드,다크,,"구운 견과류, 브라운 슈가, 카라멜",4,1,4,3
닻별,3609,블렌드,다크,유기농,-,4,2,4,4
조바티 스페셜 블렌드,3912,블렌드,라이트미디엄,,-,3,4,3,1
