id,body,sour,sweet,bitter,decaf,blend,single,지속가능성_0,지속가능성_공정무역,지속가능성_유기농,지속가능성_직접무역,로스팅 포인트_다크,로스팅 포인트_라이트,로스팅 포인트_라이트미디엄,로스팅 포인트_미디엄,로스팅 포인트_미디엄다크,꽃,과일,허브,달콤함,고소함,향료,초콜릿
136,4,3,2,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2999,3,2,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1714,3,2,5,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
282,4,1,3,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
3357,3,1,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4707,3,3,3,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3946,4,3,3,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1573,3,3,4,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
1085,3,2,3,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
3508,4,1,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1478,3,1,4,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
4601,4,2,3,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1038,3,2,4,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3058,3,3,3,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3206,4,1,4,4,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4407,4,3,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3725,4,1,4,4,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4602,3,3,3,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4824,3,1,4,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1088,4,2,4,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
3587,3,2,4,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4449,4,2,2,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1094,2,3,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
2995,4,2,4,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3214,4,3,4,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
226,4,1,3,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1
3897,4,4,4,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4004,4,2,4,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1105,2,4,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
4643,3,3,4,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3231,3,1,3,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
